,station_id,road_id,km,name,longitude,latitude,altitude,timezone
27,130,54,1646,"км 1646+200 а/д М-5 ""Урал""",54.888,58.433,360,4
28,131,54,1255,"км 1255+026 а/д М-5 ""Урал""",54.381,53.095,0,3
29,132,54,1316,"км 1316+700 а/д М-5 ""Урал""",54.485,53.91,0,3
30,133,54,1500,"км 1500+500 а/д М-5 ""Урал""",54.762319,56.401223,0,3
31,134,55,1200,"км 1200+617 а/д М-7 ""Волга""",55.4426604,54.3981811,169,4
32,135,55,1266,"км 1266+500 а/д М-7 ""Волга""",55.1611742,55.1278214,97,3
33,136,55,1331,"км 1331+500 а/д М-7 ""Волга""",54.8071,55.851067,100,3
34,137,60,23,км 23+950 а/д Р-240 Уфа-Оренбург,54.513167,55.899433,86,3
35,138,60,87,км 87+100 а/д Р-240 Уфа-Оренбург,53.9622167,55.9128833,197,3
36,139,60,105,км 105+300 а/д Р-240 Уфа-Оренбург,53.80915,55.93375,167,3
37,140,60,140,км 140+950 а/д Р-240 Уфа-Оренбург,53.514183,55.871667,141,3
38,141,54,1622,"км 1622+000 а/д М-5 ""Урал""",54.909,58.102,385,3
39,142,54,1765,"км 1765+900 а/д М-5 ""Урал""",54.983,59.869,377,3
40,143,69,18,"км 18+080 а/д М-5 ""Урал"", подъезд к г. Екатеринбург",55.311,61.335,213,3
41,144,69,37,"км 37+600 а/д М-5 ""Урал"", подъезд к г. Екатеринбург",55.466,61.347,228,4
42,145,69,72,"км 72+310 а/д М-5 ""Урал"", подъезд к г. Екатеринбург",55.762,61.221,219,4
43,146,69,121,"км 121+310 а/д М-5 ""Урал"", подъезд к г. Екатеринбург",56.14,60.9,278,4
44,147,197,27,"км 27+900 а/д Р-254 (М-51, М-53, М-55) ""Иртыш""",55.239,61.756,220,4
45,148,197,62,"км 62+750 а/д Р-254 (М-51, М-53, М-55) ""Иртыш""",55.219,62.275,189,4
46,149,197,91,"км 91+870 а/д Р-254 (М-51, М-53, М-55) ""Иртыш""",55.236,62.724,175,3
47,150,197,125,"км 125+835 а/д Р-254 (М-51, М-53, М-55) ""Иртыш""",55.255,63.256,165,5
